"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"CH.1.1*"	0.01780751	0.00975	0.02587	89	"Alberta"
"XBB.1.5.12"	0.01780525	0.01139	0.02422	121	"Canada"
"XBB.1.5.1"	0.01766645	-0.00074	0.03607	53	"British Columbia"
"XBB.1.5.49"	0.01750386	0.01325	0.02176	279	"Canada"
"FK.1.1"	0.01732562	0.00207	0.03258	21	"Canada"
"BQ.1.1.45"	0.01723334	-0.00492	0.03938	11	"Alberta"
"CH.1.1"	0.01719713	-0.00312	0.03752	14	"Nova Scotia"
"XBB.1.5.14*"	0.01711785	-0.00507	0.0393	11	"Alberta"
"XBB.1.5.38"	0.01710417	-0.00317	0.03737	12	"Canada"
"XBB.1.5.4"	0.0167148	0.00933	0.0241	90	"Canada"
"XBB.1.19.1"	0.01638875	0.00322	0.02956	28	"Canada"
"XBB.1.5.12"	0.01596946	0.00112	0.03082	22	"Quebec"
"XBB.1.5.14*"	0.01586903	0.0051	0.02664	42	"Canada"
"DV.1.1"	0.01575424	0.0119	0.0196	345	"Canada"
"XBB.1.17.1*"	0.01555537	0.00373	0.02738	35	"Canada"
"BA.2.3*"	0.01546831	-0.00544	0.03638	12	"Alberta"
"XBB.1.5.15*"	0.01545627	0.00201	0.0289	30	"Alberta"
"BA.2.75*"	0.01497695	0.00751	0.02244	104	"Alberta"
"XBB.1.5.1"	0.01474053	-0.00155	0.03103	18	"Quebec"
"XBB.1.5.1"	0.01406998	0.00802	0.02012	138	"Ontario"
"XBB.1.5.69"	0.01400353	0.00618	0.02183	81	"Canada"
"XBB.1.17.1*"	0.01380306	-0.00198	0.02959	19	"Quebec"
"XBB.1.5.17*"	0.01309783	0.00224	0.02396	48	"Alberta"
"XBB.1.5.68"	0.01303939	-0.00689	0.03297	12	"Ontario"
"XBB.1.5.2"	0.01282017	-0.00203	0.02767	22	"Ontario"
"XBB.1.5.35"	0.01279754	-0.00318	0.02877	19	"Ontario"
"DV.1.1"	0.01255874	0.0084	0.01672	304	"Quebec"
"XBB.1.5.52"	0.01249539	0.00161	0.02338	42	"Canada"
"DV*"	0.01231488	0.00819	0.01643	310	"Quebec"
"FD.4"	0.01229502	-0.00867	0.03326	11	"Ontario"
"XBB.1.5.50"	0.0121052	-0.02309	0.0473	12	"Manitoba"
"XBB.1.5.15"	0.01194296	0.00426	0.01963	81	"Quebec"
"XBB.1.5.24"	0.01177909	-0.00643	0.02999	14	"Quebec"
"FL.2"	0.0117049	-0.00659	0.03	16	"Alberta"
"XBB.1.9.1.2*"	0.0117049	-0.00659	0.03	16	"Alberta"
"XBB.1.5.52"	0.01146533	-0.00129	0.02422	30	"Ontario"
"XBB.1.5.49"	0.01133678	0.00484	0.01784	117	"Ontario"
