"Date"	"Lineage"	"Frequency"	"% Frequency"
2023-05-15	"BQ.1"	0	"0%"
2023-05-15	"BQ.1.1"	0	"0%"
2023-05-15	"BQ.1.1.40"	0	"0%"
2023-05-15	"CH.1.1"	4	"0%"
2023-05-15	"DV.1.1"	13	"1%"
2023-05-15	"FD.1.1"	129	"12%"
2023-05-15	"FL.4"	30	"3%"
2023-05-15	"FT.1"	0	"0%"
2023-05-15	"other lineages"	339	"31%"
2023-05-15	"XBB.1.16"	145	"13%"
2023-05-15	"XBB.1.16.1"	18	"2%"
2023-05-15	"XBB.1.5"	251	"23%"
2023-05-15	"XBB.1.5.1"	9	"1%"
2023-05-15	"XBB.1.5.15"	10	"1%"
2023-05-15	"XBB.1.5.17"	6	"1%"
2023-05-15	"XBB.1.5.2"	8	"1%"
2023-05-15	"XBB.1.5.20"	15	"1%"
2023-05-15	"XBB.1.5.31"	0	"0%"
2023-05-15	"XBB.1.5.32"	11	"1%"
2023-05-15	"XBB.1.5.39"	8	"1%"
2023-05-15	"XBB.1.5.49"	11	"1%"
2023-05-15	"XBB.1.5.50"	5	"0%"
2023-05-15	"XBB.1.5.67"	4	"0%"
2023-05-15	"XBB.1.5.7"	15	"1%"
2023-05-15	"XBB.1.9.1"	61	"6%"
2023-05-15	"XBF"	2	"0%"
2023-05-22	"BQ.1"	0	"0%"
2023-05-22	"BQ.1.1"	0	"0%"
2023-05-22	"BQ.1.1.40"	0	"0%"
2023-05-22	"CH.1.1"	1	"0%"
2023-05-22	"DV.1.1"	4	"1%"
2023-05-22	"FD.1.1"	33	"5%"
2023-05-22	"FL.4"	19	"3%"
2023-05-22	"FT.1"	0	"0%"
2023-05-22	"other lineages"	244	"39%"
2023-05-22	"XBB.1.16"	110	"18%"
2023-05-22	"XBB.1.16.1"	33	"5%"
2023-05-22	"XBB.1.5"	98	"16%"
2023-05-22	"XBB.1.5.1"	11	"2%"
2023-05-22	"XBB.1.5.15"	4	"1%"
2023-05-22	"XBB.1.5.17"	2	"0%"
2023-05-22	"XBB.1.5.2"	3	"0%"
2023-05-22	"XBB.1.5.20"	4	"1%"
2023-05-22	"XBB.1.5.31"	1	"0%"
2023-05-22	"XBB.1.5.32"	2	"0%"
2023-05-22	"XBB.1.5.39"	4	"1%"
2023-05-22	"XBB.1.5.49"	12	"2%"
2023-05-22	"XBB.1.5.50"	1	"0%"
2023-05-22	"XBB.1.5.67"	1	"0%"
2023-05-22	"XBB.1.5.7"	17	"3%"
2023-05-22	"XBB.1.9.1"	14	"2%"
2023-05-22	"XBF"	0	"0%"
2023-05-29	"BQ.1"	0	"0%"
2023-05-29	"BQ.1.1"	0	"0%"
2023-05-29	"BQ.1.1.40"	0	"0%"
2023-05-29	"CH.1.1"	0	"0%"
